040	040	 	040	ドラ	040	ドラ
041	041	 	041	ハシ	042	カシ
042	042	 	041	ハシ	042	カシ
043	043	 	043	ハタ	044	カタ
044	044	 	043	ハタ	044	カタ
045	045		045	シリ	046	チリ
046	046		045	シリ	046	チリ
047	047		047	ヒル	048	キル
048	048		047	ヒル	048	キル
049	049		049	スキ	050	ツキ
050	050		049	スキ	050	ツキ
051	051		051	スナ	052	ツナ
052	052		051	スナ	052	ツナ
053	053		053	ヘン	054	ケン
054	054		053	ヘン	054	ケン
055	055		055	ヘリ	056	ケリ
056	056		055	ヘリ	056	ケリ
057 057		057	ホシ	058	コシ
058 058		057	ホシ	058	コシ
059	059		059	コル	060	ホル
060	060		059	コル	060	ホル
